Chart Recorder Data File Fri, Oct 23, 2015 11:55 AM
Time (s)	CH1 (V)  	CH2 (V)  
11:17:19.644	0.158846	0.093957
11:17:19.744	0.157888	0.093957
11:17:19.844	0.158527	0.093957
11:17:19.944	0.157250	0.093957
11:17:20.044	0.157569	0.093641
11:17:20.144	0.158207	0.093641
11:17:20.244	0.157569	0.093325
11:17:20.344	0.157569	0.093957
11:17:20.444	0.158527	0.093010
11:17:20.544	0.157569	0.093325
11:17:20.644	0.157888	0.093641
11:17:20.744	0.157569	0.093010
11:17:20.844	0.157888	0.093325
11:17:20.944	0.157569	0.093325
11:17:21.044	0.158207	0.093325
11:17:21.144	0.158207	0.093325
11:17:21.244	0.158527	0.093957
11:17:21.344	0.158207	0.093641
11:17:21.444	0.158527	0.093641
11:17:21.544	0.158846	0.093957
11:17:21.644	0.157888	0.093325
11:17:21.744	0.157569	0.093010
11:17:21.844	0.158527	0.093641
11:17:21.944	0.157250	0.093641
11:17:22.044	0.157888	0.093010
11:17:22.144	0.158207	0.093325
11:17:22.244	0.157250	0.093010
11:17:22.344	0.157888	0.093010
11:17:22.444	0.158527	0.093641
11:17:22.544	0.158207	0.093010
11:17:22.644	0.158207	0.093641
11:17:22.744	0.157569	0.093641
11:17:22.844	0.157250	0.093010
11:17:22.944	0.157569	0.092694
11:17:23.044	0.157569	0.092694
11:17:23.144	0.157569	0.092694
11:17:23.244	0.158207	0.093641
11:17:23.343	0.157569	0.093325
11:17:23.443	0.156931	0.092378
11:17:23.543	0.157888	0.093641
11:17:23.643	0.157888	0.093325
11:17:23.743	0.156612	0.092694
11:17:23.843	0.157888	0.093641
11:17:23.943	0.157888	0.092378
11:17:24.043	0.156292	0.092694
11:17:24.143	0.157888	0.093010
11:17:24.243	0.157888	0.092694
11:17:24.343	0.157888	0.093325
11:17:24.443	0.158207	0.093641
11:17:24.543	0.157888	0.093010
11:17:24.643	0.158527	0.094273
11:17:24.743	0.157569	0.093325
11:17:24.843	0.157250	0.093641
11:17:24.943	0.157250	0.093957
11:17:25.043	0.157250	0.093641
11:17:25.143	0.157569	0.092694
11:17:25.243	0.158207	0.093010
11:17:25.343	0.157250	0.093010
11:17:25.443	0.157569	0.093010
11:17:25.543	0.158846	0.093641
11:17:25.643	0.157569	0.093641
11:17:25.743	0.157250	0.093957
11:17:25.843	0.157569	0.094273
11:17:25.943	0.157569	0.093957
11:17:26.043	0.156931	0.093957
11:17:26.143	0.157250	0.094273
11:17:26.243	0.156931	0.093641
11:17:26.343	0.157250	0.093641
11:17:26.443	0.157250	0.093957
11:17:26.543	0.156931	0.093010
11:17:26.643	0.156931	0.093325
11:17:26.744	0.157250	0.093641
11:17:26.844	0.156931	0.093325
11:17:26.944	0.156292	0.093325
11:17:27.044	0.156931	0.093010
11:17:27.144	0.157250	0.093957
11:17:27.244	0.156612	0.093010
11:17:27.344	0.157888	0.093641
11:17:27.444	0.157569	0.093957
