Chart Recorder Data File Tue, Oct 27, 2015 11:30 AM
Time (s)	CH1 (V)  	CH2 (V)  
10:50:50.343	-0.032021	0.494560
10:50:50.443	-0.031702	0.510989
10:50:50.543	-0.031382	0.508777
10:50:50.643	-0.031702	0.508145
10:50:50.743	-0.031702	0.505618
10:50:50.843	-0.032340	0.503406
10:50:50.943	-0.032021	0.500563
10:50:51.043	-0.031382	0.497088
10:50:51.143	-0.031702	0.496772
10:50:51.243	-0.030425	0.497088
10:50:51.343	-0.030744	0.496456
10:50:51.443	-0.031063	0.495824
10:50:51.543	-0.030744	0.496772
10:50:51.643	-0.030425	0.496456
10:50:51.743	-0.030425	0.495824
10:50:51.843	-0.030106	0.495508
10:50:51.943	-0.030744	0.494244
10:50:52.043	-0.030744	0.490453
10:50:52.143	-0.030425	0.487926
10:50:52.243	-0.030425	0.487926
10:50:52.343	-0.031063	0.485082
10:50:52.443	-0.031063	0.486662
10:50:52.543	-0.030744	0.486346
10:50:52.644	-0.031382	0.482555
10:50:52.744	-0.031382	0.479080
10:50:52.844	-0.031063	0.480343
10:50:52.944	-0.031382	0.478764
10:50:53.044	-0.030744	0.476552
10:50:53.144	-0.031702	0.474025
10:50:53.244	-0.031702	0.473709
10:50:53.344	-0.031063	0.476236
10:50:53.444	-0.031382	0.476552
10:50:53.544	-0.031063	0.480659
10:50:53.644	-0.029787	0.481607
10:50:53.744	-0.031382	0.485398
10:50:53.844	-0.030425	0.483187
10:50:53.944	-0.030106	0.485082
10:50:54.044	-0.029787	0.484451
10:50:54.144	-0.029467	0.483187
10:50:54.244	-0.029467	0.481923
10:50:54.344	-0.029787	0.483187
10:50:54.444	-0.029467	0.482239
10:50:54.544	-0.029787	0.483187
10:50:54.644	-0.029787	0.483819
10:50:54.744	-0.029787	0.481607
10:50:54.844	-0.030106	0.483187
10:50:54.944	-0.028510	0.480975
10:50:55.044	-0.029148	0.480975
10:50:55.144	-0.029787	0.483187
10:50:55.244	-0.028829	0.481607
10:50:55.344	-0.028829	0.484766
10:50:55.444	-0.028510	0.487294
10:50:55.544	-0.028829	0.484451
10:50:55.644	-0.028191	0.483819
10:50:55.744	-0.028510	0.483503
10:50:55.844	-0.028191	0.484135
10:50:55.944	-0.027872	0.484766
10:50:56.044	-0.028191	0.484135
10:50:56.144	-0.028829	0.482871
10:50:56.244	-0.028829	0.485714
10:50:56.344	-0.028829	0.484135
10:50:56.444	-0.028829	0.482555
10:50:56.544	-0.028510	0.481291
10:50:56.644	-0.028510	0.477816
10:50:56.744	-0.028510	0.479080
10:50:56.844	-0.027872	0.483819
10:50:56.944	-0.028191	0.484135
10:50:57.044	-0.027872	0.484135
10:50:57.144	-0.028191	0.481923
10:50:57.244	-0.028191	0.482239
