Chart Recorder Data File Fri, Oct 23, 2015 10:26 AM
Time (s)	CH1 (V)  
10:25:28.344	0.000216
10:25:28.444	0.001173
10:25:28.544	0.001493
10:25:28.644	0.001812
10:25:28.744	0.001812
10:25:28.844	0.001173
10:25:28.944	0.001493
10:25:29.044	0.001493
10:25:29.144	0.001173
10:25:29.244	0.001493
10:25:29.344	0.002131
10:25:29.444	0.001493
10:25:29.544	0.001812
10:25:29.644	0.001493
10:25:29.744	0.001812
10:25:29.844	0.001173
10:25:29.944	0.002131
10:25:30.044	0.001493
10:25:30.144	0.000854
10:25:30.244	0.001812
10:25:30.344	0.001173
10:25:30.444	0.001812
10:25:30.544	0.001812
10:25:30.644	0.001812
10:25:30.744	0.001812
10:25:30.844	0.000854
10:25:30.944	0.002131
10:25:31.044	0.001812
10:25:31.144	0.000854
10:25:31.243	0.000854
10:25:31.343	0.002131
10:25:31.443	0.001493
10:25:31.543	0.001493
10:25:31.643	0.001812
10:25:31.743	0.000854
10:25:31.843	0.002450
10:25:31.943	0.001173
10:25:32.043	0.002131
10:25:32.143	0.001812
10:25:32.243	0.001812
10:25:32.343	0.001173
10:25:32.443	0.001493
10:25:32.543	0.002450
10:25:32.643	0.001173
10:25:32.743	0.001812
10:25:32.843	0.001493
10:25:32.943	0.001493
10:25:33.043	0.002131
10:25:33.143	0.001812
10:25:33.243	0.000854
10:25:33.343	0.001493
10:25:33.443	0.001812
10:25:33.543	0.001493
10:25:33.643	0.001493
10:25:33.743	0.001812
10:25:33.843	0.001812
10:25:33.943	0.002131
10:25:34.043	0.002450
10:25:34.143	0.002131
10:25:34.243	0.001812
10:25:34.343	0.001493
10:25:34.443	0.001812
10:25:34.543	0.000854
10:25:34.643	0.001812
10:25:34.744	0.001493
10:25:34.844	0.001173
10:25:34.944	0.001812
10:25:35.044	0.002450
10:25:35.144	0.001493
10:25:35.244	0.001493
10:25:35.344	0.000854
10:25:35.444	0.001812
10:25:35.544	0.001812
10:25:35.644	0.001493
10:25:35.744	0.002131
10:25:35.844	0.002131
10:25:35.944	0.001812
10:25:36.044	0.001812
10:25:36.144	0.001493
10:25:36.244	0.001812
10:25:36.344	0.002131
10:25:36.444	0.001173
10:25:36.544	0.001493
10:25:36.644	0.001812
10:25:36.744	0.000854
10:25:36.844	0.002450
10:25:36.944	0.001812
10:25:37.044	0.002450
10:25:37.144	0.001493
10:25:37.244	0.001812
10:25:37.344	0.001812
10:25:37.444	0.002131
10:25:37.544	0.001493
10:25:37.644	0.000854
10:25:37.744	0.001812
10:25:37.844	0.001493
10:25:37.944	0.001812
10:25:38.044	0.001812
10:25:38.144	0.001173
10:25:38.244	0.001493
10:25:38.344	0.001173
10:25:38.444	0.001812
10:25:38.544	0.001173
10:25:38.644	0.001173
10:25:38.744	0.001493
10:25:38.844	0.002131
10:25:38.944	0.001493
10:25:39.044	0.001812
10:25:39.144	0.001173
10:25:39.244	0.001812
10:25:39.344	0.001173
10:25:39.444	0.000535
10:25:39.544	0.002450
10:25:39.644	0.001173
10:25:39.744	0.001493
10:25:39.844	0.001812
10:25:39.944	0.001812
10:25:40.044	0.001812
10:25:40.144	0.002131
10:25:40.244	0.001812
10:25:40.344	0.001173
10:25:40.444	0.001812
10:25:40.544	0.001493
10:25:40.644	0.001173
10:25:40.744	0.001493
10:25:40.844	0.002131
10:25:40.944	0.002131
10:25:41.044	0.001173
10:25:41.144	0.001493
10:25:41.244	0.001812
10:25:41.344	0.001812
10:25:41.444	0.001493
10:25:41.544	0.001173
10:25:41.644	0.001812
10:25:41.744	0.001812
10:25:41.844	0.002450
10:25:41.944	0.001812
10:25:42.044	0.001493
10:25:42.144	0.001493
10:25:42.244	0.001812
10:25:42.344	0.002131
10:25:42.444	0.001812
10:25:42.544	0.002450
10:25:42.644	0.001812
10:25:42.744	0.001493
10:25:42.844	0.001812
10:25:42.944	0.001173
10:25:43.044	0.001812
10:25:43.144	0.001173
10:25:43.244	0.001812
10:25:43.344	0.001493
10:25:43.444	0.001812
10:25:43.544	0.001493
10:25:43.644	0.002131
10:25:43.744	0.001812
10:25:43.844	0.001493
10:25:43.944	0.001812
10:25:44.044	0.001173
10:25:44.144	0.001812
10:25:44.244	0.001173
10:25:44.344	0.001493
10:25:44.444	0.000854
10:25:44.544	0.002450
10:25:44.644	0.002131
10:25:44.744	0.001173
10:25:44.844	0.001493
