Chart Recorder Data File Tue, Oct 27, 2015 10:41 AM
Time (s)	CH1 (V)  	CH2 (V)  
10:33:57.943	0.105544	0.135976
10:33:58.043	0.106182	0.136608
10:33:58.143	0.106182	0.135976
10:33:58.243	0.106501	0.136292
10:33:58.343	0.107139	0.136292
10:33:58.443	0.106820	0.136608
10:33:58.544	0.106182	0.136608
10:33:58.644	0.106501	0.135660
10:33:58.744	0.106820	0.136608
10:33:58.844	0.106182	0.136292
10:33:58.944	0.105863	0.136292
10:33:59.044	0.106501	0.136924
10:33:59.144	0.106501	0.135976
10:33:59.244	0.106820	0.136608
10:33:59.344	0.107459	0.136924
10:33:59.444	0.106501	0.136924
10:33:59.544	0.106501	0.136292
10:33:59.644	0.106501	0.135976
10:33:59.744	0.106182	0.136924
10:33:59.844	0.107139	0.136924
10:33:59.944	0.106820	0.136292
10:34:00.044	0.106501	0.136292
10:34:00.144	0.106501	0.136608
10:34:00.244	0.106182	0.136292
10:34:00.344	0.106501	0.136608
10:34:00.444	0.106820	0.136608
10:34:00.544	0.106820	0.135976
10:34:00.644	0.106820	0.136924
10:34:00.744	0.106501	0.135976
10:34:00.844	0.105863	0.135976
10:34:00.944	0.106182	0.135976
10:34:01.044	0.106501	0.136608
10:34:01.144	0.107139	0.136608
10:34:01.244	0.106182	0.135660
10:34:01.344	0.106501	0.135660
10:34:01.444	0.107139	0.136608
10:34:01.544	0.107778	0.136292
10:34:01.644	0.107459	0.136608
10:34:01.744	0.106820	0.136924
10:34:01.844	0.107139	0.136292
10:34:01.944	0.106820	0.136292
10:34:02.044	0.107778	0.136292
10:34:02.144	0.106820	0.136608
10:34:02.244	0.106501	0.136292
10:34:02.344	0.107778	0.136924
10:34:02.444	0.107778	0.136608
10:34:02.544	0.107139	0.136292
10:34:02.644	0.107778	0.136292
10:34:02.744	0.107139	0.136924
10:34:02.844	0.107778	0.136292
10:34:02.944	0.107459	0.136924
10:34:03.044	0.107778	0.136608
10:34:03.144	0.107139	0.136924
10:34:03.244	0.106820	0.136924
10:34:03.344	0.106501	0.136608
10:34:03.444	0.107459	0.136608
10:34:03.544	0.107778	0.136292
10:34:03.644	0.107139	0.136292
10:34:03.744	0.108097	0.136608
10:34:03.844	0.107778	0.136924
10:34:03.944	0.107459	0.136924
10:34:04.044	0.106501	0.136608
10:34:04.144	0.107778	0.136292
10:34:04.244	0.107778	0.136292
10:34:04.344	0.107778	0.135976
10:34:04.444	0.108097	0.136608
10:34:04.544	0.107778	0.137240
10:34:04.644	0.107139	0.136292
10:34:04.744	0.106820	0.136924
10:34:04.844	0.107139	0.137240
10:34:04.944	0.108097	0.136924
10:34:05.044	0.107778	0.136608
10:34:05.144	0.107778	0.136608
10:34:05.244	0.106820	0.136924
10:34:05.344	0.107778	0.137556
10:34:05.444	0.106820	0.136608
10:34:05.544	0.107459	0.136292
10:34:05.644	0.106182	0.136608
10:34:05.744	0.106501	0.136608
10:34:05.844	0.106501	0.136292
10:34:05.944	0.107139	0.136924
10:34:06.044	0.106501	0.136608
10:34:06.144	0.106501	0.137240
10:34:06.244	0.107139	0.137240
10:34:06.344	0.106501	0.136924
10:34:06.444	0.106501	0.136292
10:34:06.544	0.107139	0.136924
10:34:06.644	0.106820	0.136924
10:34:06.744	0.107139	0.136608
10:34:06.844	0.106820	0.137240
10:34:06.944	0.106820	0.136608
10:34:07.044	0.106501	0.136924
10:34:07.144	0.106501	0.136924
10:34:07.244	0.106501	0.137240
10:34:07.344	0.106820	0.136924
10:34:07.444	0.106501	0.136924
10:34:07.544	0.106820	0.137240
10:34:07.644	0.107139	0.137556
10:34:07.744	0.106820	0.137556
10:34:07.844	0.106820	0.136924
10:34:07.943	0.106820	0.137872
10:34:08.043	0.107139	0.137556
10:34:08.143	0.107459	0.137556
10:34:08.243	0.107778	0.137556
10:34:08.343	0.106820	0.137872
10:34:08.443	0.106820	0.137556
10:34:08.543	0.106820	0.137240
10:34:08.643	0.106820	0.137556
10:34:08.743	0.106820	0.137872
10:34:08.843	0.106501	0.137240
10:34:08.943	0.106501	0.138188
10:34:09.043	0.107139	0.138188
10:34:09.143	0.106820	0.137556
10:34:09.243	0.107778	0.137872
10:34:09.343	0.106820	0.138504
10:34:09.443	0.106501	0.137556
10:34:09.543	0.106501	0.138188
10:34:09.643	0.106501	0.137556
10:34:09.743	0.107778	0.138188
10:34:09.843	0.107139	0.138188
10:34:09.943	0.107778	0.137872
10:34:10.043	0.108097	0.138188
10:34:10.143	0.107778	0.137556
10:34:10.243	0.107139	0.138188
10:34:10.343	0.106820	0.137872
10:34:10.443	0.107459	0.137872
10:34:10.543	0.107139	0.137872
10:34:10.643	0.106501	0.137872
10:34:10.743	0.106501	0.137872
10:34:10.843	0.106820	0.137872
10:34:10.943	0.107139	0.138504
10:34:11.043	0.106820	0.137872
10:34:11.143	0.106820	0.137872
10:34:11.243	0.106501	0.138188
10:34:11.343	0.106501	0.137872
10:34:11.443	0.106820	0.138820
10:34:11.543	0.106182	0.137872
10:34:11.643	0.107459	0.137872
10:34:11.743	0.107139	0.138188
10:34:11.843	0.107139	0.137872
10:34:11.943	0.106820	0.137556
10:34:12.043	0.106820	0.138504
10:34:12.143	0.106820	0.138504
10:34:12.243	0.106501	0.138188
10:34:12.343	0.106820	0.137240
10:34:12.443	0.106820	0.138504
10:34:12.543	0.106501	0.138504
10:34:12.643	0.104586	0.138188
10:34:12.743	0.105863	0.138188
10:34:12.843	0.106182	0.138820
10:34:12.943	0.104905	0.137872
10:34:13.043	0.105863	0.139768
10:34:13.143	0.105544	0.138188
10:34:13.243	0.104905	0.138504
10:34:13.343	0.106182	0.139136
10:34:13.443	0.106182	0.138820
10:34:13.543	0.105224	0.138820
10:34:13.643	0.106182	0.138504
10:34:13.743	0.105863	0.138820
10:34:13.843	0.105544	0.138188
10:34:13.943	0.104905	0.138820
10:34:14.043	0.105224	0.138188
10:34:14.143	0.105544	0.138820
10:34:14.243	0.105544	0.139136
10:34:14.343	0.104586	0.138504
10:34:14.443	0.104905	0.139452
10:34:14.543	0.105544	0.139452
10:34:14.643	0.105544	0.139136
10:34:14.743	0.105863	0.139452
10:34:14.843	0.105863	0.139136
10:34:14.943	0.105863	0.139136
10:34:15.043	0.105863	0.139452
10:34:15.143	0.106182	0.139136
10:34:15.243	0.105544	0.139452
10:34:15.343	0.105224	0.138504
10:34:15.443	0.105544	0.139136
10:34:15.543	0.105224	0.139136
10:34:15.643	0.105224	0.138820
10:34:15.743	0.104905	0.139768
10:34:15.843	0.105224	0.139136
10:34:15.943	0.104586	0.139768
10:34:16.044	0.105544	0.139452
10:34:16.144	0.105544	0.139136
10:34:16.244	0.105224	0.139136
10:34:16.344	0.105544	0.139768
10:34:16.444	0.105544	0.139768
10:34:16.544	0.105544	0.139452
10:34:16.644	0.104905	0.139452
10:34:16.744	0.105224	0.139768
10:34:16.844	0.105544	0.140084
10:34:16.944	0.105224	0.139768
10:34:17.044	0.106182	0.139768
10:34:17.144	0.104586	0.139452
10:34:17.244	0.104586	0.140084
10:34:17.344	0.104905	0.140084
10:34:17.444	0.106182	0.140084
10:34:17.544	0.148632	0.138820
10:34:17.644	0.162676	0.136924
10:34:17.744	0.138738	0.138188
10:34:17.844	0.110331	0.139136
10:34:17.944	0.096288	0.139136
10:34:18.044	0.092777	0.139452
10:34:18.144	0.094372	0.139768
10:34:18.244	0.097883	0.139768
10:34:18.344	0.101714	0.140399
10:34:18.444	0.102990	0.140084
10:34:18.544	0.104586	0.141031
10:34:18.644	0.105224	0.140084
10:34:18.744	0.105863	0.140715
10:34:18.844	0.106182	0.140084
10:34:18.944	0.105544	0.140399
10:34:19.044	0.105544	0.141979
10:34:19.144	0.105544	0.141031
10:34:19.244	0.105544	0.140715
10:34:19.344	0.105224	0.141979
10:34:19.444	0.104267	0.140715
10:34:19.544	0.104267	0.141979
10:34:19.644	0.103309	0.141031
10:34:19.744	0.103948	0.140715
10:34:19.844	0.103309	0.140715
10:34:19.944	0.103948	0.140715
10:34:20.044	0.103629	0.141979
10:34:20.144	0.102990	0.142295
10:34:20.244	0.103309	0.141663
10:34:20.344	0.102671	0.141347
10:34:20.444	0.102352	0.141979
10:34:20.544	0.102671	0.141663
10:34:20.644	0.102990	0.141347
10:34:20.744	0.102671	0.141979
10:34:20.844	0.102671	0.142611
10:34:20.944	0.102990	0.144823
10:34:21.044	0.115757	0.142611
10:34:21.144	0.130758	0.145138
10:34:21.244	0.132673	0.144507
10:34:21.344	0.117353	0.142927
