Chart Recorder Data File Tue, Oct 27, 2015 12:47 PM
Time (s)	CH1 (V)  	CH2 (V)  
12:27:59.244	0.150866	0.186210
12:27:59.344	0.150547	0.186842
12:27:59.444	0.150866	0.187158
12:27:59.544	0.150228	0.185262
12:27:59.644	0.149590	0.184946
12:27:59.744	0.150866	0.184314
12:27:59.844	0.151186	0.186210
12:27:59.944	0.150547	0.185578
12:28:00.044	0.150547	0.185894
12:28:00.144	0.149909	0.185262
12:28:00.244	0.150547	0.187158
12:28:00.344	0.150547	0.186842
12:28:00.444	0.150866	0.185894
12:28:00.544	0.150228	0.186210
12:28:00.644	0.150228	0.186526
12:28:00.744	0.149909	0.185262
12:28:00.844	0.150228	0.186526
12:28:00.944	0.149909	0.186842
12:28:01.044	0.150228	0.187158
12:28:01.144	0.149909	0.185578
12:28:01.244	0.150547	0.185578
12:28:01.344	0.149909	0.185262
12:28:01.444	0.150866	0.186210
12:28:01.544	0.150228	0.184630
12:28:01.644	0.149590	0.183998
12:28:01.744	0.150547	0.184630
12:28:01.844	0.149909	0.184314
12:28:01.944	0.149909	0.184314
12:28:02.044	0.150547	0.184630
12:28:02.144	0.150547	0.185894
12:28:02.244	0.150866	0.186842
12:28:02.344	0.150547	0.185894
12:28:02.444	0.150547	0.185578
12:28:02.544	0.150866	0.185262
12:28:02.644	0.150866	0.186526
12:28:02.744	0.151186	0.186210
12:28:02.844	0.149909	0.185578
12:28:02.944	0.150866	0.184314
12:28:03.044	0.149909	0.183682
12:28:03.144	0.150228	0.184314
12:28:03.244	0.150866	0.185578
12:28:03.344	0.151186	0.185578
12:28:03.444	0.150547	0.185262
12:28:03.544	0.150228	0.184314
12:28:03.644	0.150866	0.183050
12:28:03.744	0.150547	0.183682
12:28:03.844	0.150547	0.184314
12:28:03.944	0.150228	0.185578
12:28:04.043	0.149909	0.183366
12:28:04.143	0.149590	0.184314
12:28:04.243	0.150866	0.183682
12:28:04.343	0.151186	0.183366
12:28:04.443	0.150866	0.183366
12:28:04.543	0.150547	0.183366
12:28:04.643	0.150547	0.183682
12:28:04.743	0.150866	0.184314
12:28:04.843	0.149909	0.184314
12:28:04.943	0.150547	0.185578
12:28:05.043	0.150866	0.184630
12:28:05.143	0.151186	0.185262
12:28:05.243	0.150547	0.184946
12:28:05.343	0.151186	0.185894
12:28:05.443	0.150866	0.184946
12:28:05.543	0.150228	0.183366
12:28:05.643	0.150228	0.183682
12:28:05.743	0.150866	0.183366
12:28:05.843	0.150228	0.182734
12:28:05.943	0.150228	0.183366
12:28:06.043	0.151186	0.185262
12:28:06.143	0.150228	0.185578
12:28:06.243	0.149909	0.185894
12:28:06.343	0.150547	0.186526
12:28:06.443	0.150228	0.184630
12:28:06.543	0.150547	0.185578
12:28:06.643	0.150228	0.184946
12:28:06.743	0.150866	0.186526
12:28:06.843	0.150547	0.185894
12:28:06.943	0.151186	0.184314
12:28:07.043	0.151505	0.186210
12:28:07.143	0.150547	0.185894
