Chart Recorder Data File Tue, Oct 27, 2015 11:40 AM
Time (s)	CH1 (V)  	CH2 (V)  
11:36:48.943	-0.431309	0.006444
11:36:49.043	-0.430990	0.006760
11:36:49.143	-0.430670	0.006760
11:36:49.243	-0.430351	0.006760
11:36:49.343	-0.430351	0.007708
11:36:49.443	-0.430032	0.007392
11:36:49.543	-0.430032	0.007708
11:36:49.643	-0.429394	0.008655
11:36:49.743	-0.430032	0.008339
11:36:49.843	-0.430032	0.007392
11:36:49.943	-0.428755	0.008024
11:36:50.043	-0.428755	0.008339
11:36:50.143	-0.428755	0.007708
11:36:50.243	-0.427479	0.008655
11:36:50.343	-0.428436	0.007708
11:36:50.443	-0.428436	0.008655
11:36:50.543	-0.427479	0.008655
11:36:50.643	-0.427479	0.008971
11:36:50.743	-0.427159	0.008024
11:36:50.843	-0.426521	0.008655
11:36:50.943	-0.426840	0.008339
11:36:51.043	-0.425883	0.008339
11:36:51.143	-0.425883	0.008655
11:36:51.243	-0.425883	0.008971
11:36:51.343	-0.426202	0.008971
11:36:51.443	-0.425244	0.008655
11:36:51.543	-0.425883	0.008339
11:36:51.643	-0.423968	0.008655
11:36:51.743	-0.424925	0.008655
11:36:51.843	-0.424925	0.008971
11:36:51.943	-0.423649	0.009603
11:36:52.043	-0.423649	0.009603
11:36:52.143	-0.424287	0.009919
11:36:52.243	-0.423649	0.009603
11:36:52.343	-0.423968	0.010235
11:36:52.443	-0.423649	0.010235
11:36:52.543	-0.422372	0.010235
11:36:52.643	-0.423329	0.010235
11:36:52.743	-0.423010	0.010551
11:36:52.843	-0.422691	0.010235
11:36:52.943	-0.421414	0.010551
11:36:53.043	-0.422372	0.010551
11:36:53.143	-0.421733	0.010551
11:36:53.243	-0.421095	0.009603
11:36:53.343	-0.421095	0.010235
11:36:53.443	-0.420776	0.010235
11:36:53.543	-0.420138	0.011183
11:36:53.643	-0.419818	0.011815
11:36:53.743	-0.419818	0.011183
11:36:53.843	-0.419818	0.010867
11:36:53.943	-0.418861	0.011499
11:36:54.043	-0.419499	0.010235
11:36:54.143	-0.419499	0.010551
11:36:54.243	-0.418861	0.010551
11:36:54.343	-0.418223	0.010551
11:36:54.443	-0.418223	0.009919
11:36:54.543	-0.417903	0.009603
11:36:54.643	-0.417903	0.009603
11:36:54.743	-0.417903	0.009287
11:36:54.843	-0.417265	0.008339
11:36:54.943	-0.416946	0.008339
11:36:55.044	-0.416946	0.007708
11:36:55.144	-0.417265	0.007392
11:36:55.244	-0.417265	0.006444
11:36:55.344	-0.416946	0.006444
11:36:55.444	-0.417265	0.006128
11:36:55.544	-0.416627	0.003916
11:36:55.644	-0.415988	0.000757
11:36:55.744	-0.416627	-0.002086
11:36:55.844	-0.416946	-0.006509
11:36:55.944	-0.416308	-0.009353
11:36:56.044	-0.416627	-0.013776
11:36:56.144	-0.417903	-0.017251
11:36:56.244	-0.419818	-0.020726
11:36:56.344	-0.421095	-0.024202
11:36:56.444	-0.425244	-0.027993
11:36:56.544	-0.429075	-0.030836
11:36:56.644	-0.432585	-0.033680
11:36:56.744	-0.437054	-0.036523
11:36:56.844	-0.441522	-0.038103
11:36:56.944	-0.446948	-0.040630
11:36:57.044	-0.451098	-0.041262
11:36:57.144	-0.457162	-0.042210
11:36:57.244	-0.462588	-0.044105
11:36:57.344	-0.468971	-0.044737
11:36:57.444	-0.473759	-0.045685
11:36:57.544	-0.478227	-0.046317
11:36:57.644	-0.482058	-0.047897
11:36:57.744	-0.487803	-0.050424
11:36:57.844	-0.492271	-0.052636
11:36:57.944	-0.496740	-0.053899
11:36:58.044	-0.501527	-0.054215
11:36:58.144	-0.506315	-0.054215
11:36:58.244	-0.510783	-0.054215
11:36:58.344	-0.514933	-0.053583
11:36:58.444	-0.520359	-0.052320
11:36:58.544	-0.525146	-0.051056
11:36:58.644	-0.529934	-0.049160
11:36:58.744	-0.534721	-0.048213
11:36:58.844	-0.539190	-0.048528
11:36:58.944	-0.543978	-0.047265
11:36:59.044	-0.549723	-0.045685
11:36:59.144	-0.554829	-0.045053
11:36:59.244	-0.559936	-0.040630
11:36:59.344	-0.565043	-0.030836
11:36:59.444	-0.570150	-0.018515
11:36:59.544	-0.575576	-0.004930
11:36:59.644	-0.581321	0.010235
11:36:59.744	-0.586428	0.027295
11:36:59.844	-0.591854	0.046251
11:36:59.944	-0.596322	0.068051
11:37:00.044	-0.602067	0.091746
11:37:00.144	-0.608451	0.117652
11:37:00.244	-0.613558	0.144507
11:37:00.344	-0.619941	0.173257
11:37:00.444	-0.625048	0.201375
11:37:00.544	-0.631112	0.228861
11:37:00.644	-0.637815	0.251924
11:37:00.744	-0.644518	0.271828
11:37:00.844	-0.650263	0.287308
11:37:00.944	-0.656327	0.300262
11:37:01.044	-0.662711	0.310371
11:37:01.144	-0.670052	0.317638
11:37:01.244	-0.676116	0.324588
11:37:01.344	-0.683776	0.331855
11:37:01.444	-0.691117	0.336594
11:37:01.544	-0.697501	0.342913
11:37:01.644	-0.704523	0.348915
11:37:01.744	-0.713140	0.353022
11:37:01.844	-0.720800	0.357130
11:37:01.944	-0.727503	0.360289
11:37:02.044	-0.735483	0.363132
11:37:02.144	-0.744739	0.365344
11:37:02.244	-0.753037	0.365976
11:37:02.344	-0.761336	0.366292
11:37:02.444	-0.770273	0.366923
11:37:02.544	-0.778571	0.367871
11:37:02.644	-0.788785	0.368503
11:37:02.744	-0.798998	0.367871
11:37:02.844	-0.808574	0.369135
11:37:02.944	-0.817830	0.370083
11:37:03.044	-0.828362	0.369135
11:37:03.144	-0.838895	0.367871
11:37:03.244	-0.849747	0.368187
11:37:03.344	-0.859642	0.366923
11:37:03.444	-0.869217	0.365028
11:37:03.544	-0.880069	0.366607
11:37:03.644	-0.891240	0.367871
11:37:03.744	-0.901454	0.369135
