Chart Recorder Data File Tue, Oct 20, 2015 11:57 AM
Time (s)	CH1 (V)  	CH2 (V)  
11:40:59.783	-0.000422	0.015606
11:40:59.883	0.000535	0.014974
11:40:59.983	0.000535	0.019081
11:41:00.083	0.000535	0.018765
11:41:00.183	-0.000103	0.020661
11:41:00.283	0.000535	0.024136
11:41:00.383	0.000854	0.020029
11:41:00.483	0.000216	0.022241
11:41:00.583	-0.000103	0.026032
11:41:00.683	-0.000103	0.023820
11:41:00.783	0.000216	0.021925
11:41:00.883	0.000535	0.023504
11:41:00.983	0.000535	0.022556
11:41:01.083	0.000216	0.023820
11:41:01.183	0.000535	0.020977
11:41:01.283	0.001493	0.017502
11:41:01.383	-0.000422	0.014658
11:41:01.483	0.000535	0.016238
11:41:01.583	0.000535	0.015606
11:41:01.683	0.000216	0.010235
11:41:01.783	0.000535	0.012131
11:41:01.883	0.000216	0.019397
11:41:01.983	0.000535	0.018133
11:41:02.083	0.000535	0.019081
11:41:02.183	-0.000422	0.017186
11:41:02.283	-0.000422	0.016238
11:41:02.383	0.000216	0.014026
11:41:02.483	0.000216	0.016238
11:41:02.583	0.000535	0.013394
11:41:02.683	0.000854	0.014974
11:41:02.783	-0.000103	0.014026
11:41:02.883	-0.000103	0.017502
11:41:02.983	0.000535	0.016554
11:41:03.083	-0.000422	0.015290
11:41:03.183	0.000216	0.020029
11:41:03.283	0.000535	0.021609
11:41:03.383	0.000216	0.024136
11:41:03.483	-0.000103	0.026664
11:41:03.583	0.000535	0.025400
11:41:03.683	0.000216	0.020977
11:41:03.783	0.000216	0.021609
11:41:03.883	0.000216	0.022556
11:41:03.983	-0.000103	0.019713
11:41:04.083	0.000535	0.019713
11:41:04.183	0.000216	0.019081
11:41:04.283	0.000535	0.019081
11:41:04.383	-0.000103	0.015606
11:41:04.483	0.000216	0.018449
11:41:04.583	0.000216	0.019713
11:41:04.683	0.000216	0.020661
11:41:04.783	0.000216	0.021925
11:41:04.883	-0.000103	0.023820
11:41:04.983	-0.000103	0.021293
11:41:05.083	-0.000103	0.025400
11:41:05.183	0.000216	0.022872
11:41:05.283	-0.000103	0.020345
11:41:05.383	0.000216	0.021609
11:41:05.483	0.000216	0.021609
11:41:05.583	0.000535	0.017186
11:41:05.683	0.000216	0.017817
11:41:05.783	0.000854	0.020345
11:41:05.883	-0.000103	0.021609
11:41:05.983	0.000216	0.022556
11:41:06.083	0.000535	0.021293
11:41:06.183	0.000216	0.023504
11:41:06.283	-0.000422	0.024136
11:41:06.383	0.000216	0.022241
11:41:06.483	0.000216	0.026032
11:41:06.583	0.000535	0.025716
11:41:06.683	-0.000103	0.024768
11:41:06.782	0.000854	0.029191
11:41:06.882	0.000216	0.026664
11:41:06.982	0.000216	0.023504
11:41:07.082	0.000216	0.019713
11:41:07.182	-0.000103	0.020345
11:41:07.282	-0.000103	0.024136
11:41:07.382	0.000216	0.026664
11:41:07.482	-0.000103	0.025716
11:41:07.582	-0.000422	0.025084
11:41:07.682	0.000216	0.024768
11:41:07.782	-0.000103	0.025400
11:41:07.882	0.000216	0.025400
11:41:07.982	0.000216	0.021925
11:41:08.082	0.000216	0.020661
11:41:08.182	0.000216	0.017817
11:41:08.282	0.000216	0.020661
11:41:08.382	0.000535	0.020345
11:41:08.482	-0.000422	0.019397
11:41:08.582	0.000535	0.019397
11:41:08.682	0.001173	0.023504
11:41:08.782	0.000535	0.024452
11:41:08.882	0.000216	0.027295
11:41:08.982	0.000216	0.024452
11:41:09.082	-0.000103	0.025084
11:41:09.182	0.000535	0.025716
11:41:09.282	0.000535	0.023820
11:41:09.382	0.000216	0.023504
11:41:09.482	-0.000103	0.024768
11:41:09.582	-0.000103	0.026032
11:41:09.682	0.000535	0.026348
11:41:09.783	0.000216	0.028559
11:41:09.883	-0.000103	0.026348
11:41:09.983	0.000216	0.022556
11:41:10.083	0.000216	0.024768
11:41:10.183	0.000216	0.023188
11:41:10.283	-0.000422	0.027611
11:41:10.383	0.000216	0.025400
11:41:10.483	-0.000103	0.026348
11:41:10.583	-0.000422	0.029823
11:41:10.683	0.000216	0.027295
11:41:10.783	0.000216	0.029191
11:41:10.883	0.000216	0.026032
11:41:10.983	0.000216	0.026032
11:41:11.083	0.000216	0.029507
11:41:11.183	0.000216	0.024768
11:41:11.283	0.000854	0.028559
11:41:11.383	0.000216	0.026980
11:41:11.483	0.000216	0.030139
11:41:11.583	0.000854	0.028875
11:41:11.683	0.000854	0.029191
11:41:11.783	0.000854	0.029191
11:41:11.883	-0.000103	0.030455
11:41:11.983	0.000854	0.029507
11:41:12.083	0.000535	0.029823
11:41:12.183	0.000216	0.032350
11:41:12.283	0.000535	0.033614
11:41:12.383	0.000216	0.032982
11:41:12.483	0.000535	0.032982
11:41:12.583	-0.000103	0.035826
11:41:12.683	0.000216	0.036458
11:41:12.783	0.000535	0.035826
11:41:12.883	0.000535	0.034878
11:41:12.983	-0.000103	0.031719
11:41:13.083	-0.000742	0.036142
11:41:13.183	0.000216	0.036458
11:41:13.283	0.000854	0.042460
11:41:13.383	0.000216	0.039617
11:41:13.483	0.000216	0.039301
