Chart Recorder Data File Fri, Oct 23, 2015 10:39 AM
Time (s)	CH1 (V)  	CH2 (V)  
10:36:51.444	0.002131	0.099328
10:36:51.544	0.001493	0.098696
10:36:51.644	0.002131	0.098696
10:36:51.744	0.001493	0.099012
10:36:51.844	0.002450	0.099012
10:36:51.944	0.002450	0.099012
10:36:52.044	0.001493	0.099328
10:36:52.144	0.002450	0.099012
10:36:52.244	0.002450	0.099012
10:36:52.344	0.001812	0.099012
10:36:52.444	0.001812	0.098696
10:36:52.544	0.002131	0.098064
10:36:52.644	0.001493	0.097749
10:36:52.744	0.002450	0.098696
10:36:52.844	0.001173	0.097749
10:36:52.944	0.001812	0.098696
10:36:53.044	0.002450	0.098696
10:36:53.143	0.001812	0.099012
10:36:53.243	0.002131	0.099328
10:36:53.343	0.002131	0.099328
10:36:53.443	0.001812	0.098696
10:36:53.543	0.001493	0.098696
10:36:53.643	0.002131	0.098696
10:36:53.743	0.001812	0.099644
10:36:53.843	0.002131	0.099012
10:36:53.943	0.001812	0.098696
10:36:54.043	0.002131	0.099012
10:36:54.143	0.002450	0.099328
10:36:54.243	0.002131	0.099012
10:36:54.343	0.002450	0.098696
10:36:54.443	0.002131	0.098380
10:36:54.543	0.001812	0.098380
10:36:54.643	0.002450	0.098696
10:36:54.743	0.001173	0.098380
10:36:54.843	0.001812	0.098696
10:36:54.943	0.001173	0.098380
10:36:55.043	0.001812	0.098380
10:36:55.143	0.001812	0.098380
10:36:55.243	0.002450	0.098696
10:36:55.343	0.002131	0.098380
10:36:55.443	0.002450	0.098696
10:36:55.543	0.002131	0.098064
10:36:55.643	0.001812	0.098380
10:36:55.743	0.001173	0.098380
10:36:55.843	0.002131	0.098380
10:36:55.943	0.001173	0.098696
10:36:56.043	0.001493	0.098696
10:36:56.143	0.001812	0.097749
10:36:56.243	0.001812	0.098064
10:36:56.343	0.001493	0.097749
10:36:56.443	0.001173	0.098064
10:36:56.544	0.001812	0.097749
10:36:56.644	0.002131	0.098380
10:36:56.744	0.001812	0.098380
10:36:56.844	0.001812	0.098380
10:36:56.944	0.000854	0.097749
10:36:57.044	0.001493	0.098380
10:36:57.144	0.001812	0.098380
10:36:57.244	0.001493	0.097749
10:36:57.344	0.002131	0.098064
10:36:57.444	0.001812	0.098064
10:36:57.544	0.001812	0.099012
10:36:57.644	0.001812	0.098064
10:36:57.744	0.001812	0.098696
10:36:57.844	0.001812	0.098064
10:36:57.944	0.001812	0.098696
10:36:58.044	0.001493	0.099012
10:36:58.144	0.002131	0.099012
10:36:58.244	0.002450	0.098380
10:36:58.344	0.003088	0.098696
10:36:58.444	0.002131	0.098380
10:36:58.544	0.001173	0.097749
10:36:58.644	0.001812	0.098696
10:36:58.744	0.001812	0.098696
10:36:58.844	0.001173	0.098064
10:36:58.944	0.001493	0.098696
10:36:59.044	0.001173	0.098380
10:36:59.144	0.001812	0.098380
10:36:59.244	0.001493	0.098380
10:36:59.344	0.001812	0.098696
10:36:59.444	0.001493	0.099012
10:36:59.544	0.001493	0.099328
10:36:59.644	0.001812	0.098696
10:36:59.744	0.001173	0.098380
10:36:59.844	0.002131	0.099012
10:36:59.944	0.001173	0.098380
10:37:00.044	0.002131	0.099012
10:37:00.144	0.001812	0.098380
10:37:00.244	0.001812	0.098696
10:37:00.344	0.000854	0.098696
10:37:00.444	0.001812	0.099012
10:37:00.544	0.002450	0.099328
10:37:00.644	0.001493	0.098064
10:37:00.744	0.001173	0.098696
10:37:00.844	0.002131	0.099012
10:37:00.944	0.002131	0.099644
10:37:01.044	0.001812	0.099328
10:37:01.144	0.001812	0.099328
10:37:01.244	0.001812	0.099012
10:37:01.344	0.001812	0.098696
10:37:01.444	0.001493	0.099012
10:37:01.544	0.002131	0.099012
10:37:01.644	0.002450	0.099328
10:37:01.744	0.001173	0.098696
10:37:01.844	0.001173	0.098696
10:37:01.944	0.001812	0.098696
10:37:02.044	0.001812	0.098696
10:37:02.144	0.002450	0.098696
10:37:02.244	0.001812	0.099012
10:37:02.344	0.001812	0.098380
10:37:02.444	0.002131	0.098696
10:37:02.544	0.001493	0.098380
10:37:02.644	0.002769	0.099012
