Chart Recorder Data File Fri, Oct 23, 2015 11:14 AM
Time (s)	CH1 (V)  
10:59:51.244	0.000216
10:59:51.344	0.001173
10:59:51.444	0.000216
10:59:51.544	0.000216
10:59:51.644	0.000216
10:59:51.744	0.000854
10:59:51.844	0.000535
10:59:51.944	0.000216
10:59:52.044	0.000535
10:59:52.144	0.000535
10:59:52.244	0.000854
10:59:52.344	0.000216
10:59:52.444	0.000535
10:59:52.544	0.000854
10:59:52.644	0.000535
10:59:52.744	0.000854
10:59:52.844	0.000216
10:59:52.944	0.000535
10:59:53.044	0.000535
10:59:53.144	0.000216
10:59:53.244	-0.000103
10:59:53.344	0.000216
10:59:53.444	0.000216
10:59:53.544	0.000854
10:59:53.644	0.000216
10:59:53.744	0.001812
10:59:53.844	0.002131
10:59:53.944	0.004365
10:59:54.044	0.005642
10:59:54.144	0.008195
10:59:54.244	0.010749
10:59:54.343	0.012345
10:59:54.443	0.011706
10:59:54.543	0.012664
10:59:54.643	0.012025
10:59:54.743	0.013621
10:59:54.843	0.015536
10:59:54.943	0.018409
10:59:55.043	0.020962
10:59:55.143	0.023516
10:59:55.243	0.025750
10:59:55.343	0.027665
10:59:55.443	0.027665
10:59:55.543	0.028303
10:59:55.643	0.028622
10:59:55.743	0.028303
10:59:55.843	0.028303
10:59:55.943	0.025431
10:59:56.043	0.022877
10:59:56.143	0.019686
10:59:56.243	0.015855
10:59:56.343	0.011387
10:59:56.443	0.008195
10:59:56.543	0.005961
10:59:56.643	0.005003
10:59:56.743	0.005003
10:59:56.843	0.006280
10:59:56.943	0.009791
10:59:57.043	0.013621
10:59:57.143	0.016494
10:59:57.243	0.018409
10:59:57.343	0.018409
10:59:57.443	0.012664
10:59:57.543	0.005323
10:59:57.643	0.001493
10:59:57.744	0.000854
10:59:57.844	0.000854
10:59:57.944	0.000854
10:59:58.044	0.001173
10:59:58.144	0.000535
10:59:58.244	0.000535
10:59:58.344	0.000216
10:59:58.444	0.000216
10:59:58.544	0.000535
10:59:58.644	0.000854
10:59:58.744	0.000216
10:59:58.844	0.000216
10:59:58.944	0.000535
10:59:59.044	0.000216
10:59:59.144	-0.000103
10:59:59.244	0.000216
10:59:59.344	0.000535
10:59:59.444	0.000535
10:59:59.544	0.000535
10:59:59.644	0.000535
10:59:59.744	0.000535
10:59:59.844	0.000535
10:59:59.944	0.000535
11:00:00.044	0.000535
11:00:00.144	0.000854
11:00:00.244	0.000216
11:00:00.344	0.000216
11:00:00.444	0.000535
11:00:00.544	0.000535
11:00:00.644	0.000216
11:00:00.744	0.000854
11:00:00.844	0.000535
11:00:00.944	0.000535
11:00:01.044	0.000216
11:00:01.144	-0.000103
11:00:01.244	0.000216
11:00:01.344	0.000535
11:00:01.444	0.000535
11:00:01.544	0.000216
11:00:01.644	0.000216
11:00:01.744	0.000854
11:00:01.844	0.000854
11:00:01.944	0.000535
11:00:02.044	0.000535
11:00:02.144	0.000216
11:00:02.244	0.000854
11:00:02.344	0.000854
11:00:02.444	0.001173
11:00:02.544	0.004684
11:00:02.644	0.009472
11:00:02.744	0.012664
11:00:02.844	0.013302
11:00:02.944	0.014260
11:00:03.044	0.017770
11:00:03.144	0.026069
11:00:03.244	0.034687
11:00:03.344	0.036921
11:00:03.444	0.038836
11:00:03.544	0.043304
11:00:03.644	0.056071
11:00:03.744	0.069477
11:00:03.844	0.075860
11:00:03.944	0.076499
11:00:04.044	0.110650
11:00:04.144	0.197785
11:00:04.244	0.236725
11:00:04.344	0.260343
11:00:04.444	0.418654
11:00:04.544	0.524940
11:00:04.644	0.550474
11:00:04.744	0.557495
11:00:04.844	0.560368
11:00:04.944	0.562283
11:00:05.044	0.562283
11:00:05.144	0.563241
11:00:05.244	0.563241
11:00:05.344	0.564517
11:00:05.444	0.564836
11:00:05.544	0.565156
11:00:05.644	0.564198
11:00:05.744	0.565156
11:00:05.844	0.565794
11:00:05.944	0.566113
11:00:06.044	0.566432
11:00:06.144	0.566751
11:00:06.244	0.566432
11:00:06.344	0.568028
11:00:06.444	0.568028
11:00:06.544	0.568028
11:00:06.644	0.568028
11:00:06.744	0.568028
11:00:06.844	0.568667
11:00:06.944	0.568028
11:00:07.044	0.568028
11:00:07.144	0.568986
11:00:07.244	0.568667
11:00:07.344	0.569624
11:00:07.444	0.569943
11:00:07.544	0.569943
11:00:07.644	0.570262
11:00:07.744	0.570582
11:00:07.844	0.570901
11:00:07.944	0.570901
11:00:08.044	0.570901
11:00:08.144	0.570262
11:00:08.244	0.571539
11:00:08.344	0.572177
11:00:08.444	0.571858
11:00:08.544	0.572177
11:00:08.644	0.572497
11:00:08.744	0.571858
11:00:08.844	0.572177
11:00:08.944	0.572497
11:00:09.044	0.572497
11:00:09.144	0.573135
11:00:09.244	0.573773
11:00:09.344	0.573454
11:00:09.444	0.574412
11:00:09.544	0.574731
11:00:09.644	0.574093
11:00:09.744	0.574093
11:00:09.844	0.574731
11:00:09.944	0.575369
11:00:10.044	0.575369
11:00:10.144	0.576327
11:00:10.244	0.575688
11:00:10.344	0.575050
11:00:10.444	0.575369
11:00:10.544	0.576327
11:00:10.644	0.576327
11:00:10.744	0.576008
11:00:10.844	0.575688
11:00:10.944	0.577923
11:00:11.044	0.576965
11:00:11.144	0.577284
11:00:11.244	0.577284
11:00:11.344	0.577923
11:00:11.444	0.578242
11:00:11.544	0.577603
11:00:11.644	0.578242
11:00:11.744	0.578880
11:00:11.843	0.578880
11:00:11.943	0.578880
11:00:12.043	0.579518
11:00:12.143	0.579518
11:00:12.243	0.579199
11:00:12.343	0.579199
11:00:12.443	0.579518
11:00:12.543	0.580476
11:00:12.643	0.581114
11:00:12.743	0.581753
11:00:12.843	0.581753
11:00:12.943	0.580476
11:00:13.043	0.581434
11:00:13.143	0.581114
11:00:13.243	0.581753
11:00:13.343	0.582072
11:00:13.443	0.582072
11:00:13.543	0.582391
11:00:13.643	0.582710
11:00:13.743	0.583349
11:00:13.843	0.583029
11:00:13.943	0.583668
11:00:14.043	0.583349
11:00:14.143	0.583349
11:00:14.243	0.582710
11:00:14.343	0.583668
11:00:14.443	0.584306
11:00:14.543	0.584944
11:00:14.643	0.585264
11:00:14.743	0.584944
11:00:14.843	0.585264
11:00:14.943	0.585264
11:00:15.043	0.586221
11:00:15.143	0.585583
11:00:15.244	0.585583
11:00:15.344	0.585902
11:00:15.444	0.585902
11:00:15.544	0.586540
11:00:15.644	0.586221
11:00:15.744	0.587179
11:00:15.844	0.586860
11:00:15.944	0.587179
11:00:16.044	0.588136
11:00:16.144	0.587498
11:00:16.244	0.588455
11:00:16.344	0.587817
11:00:16.444	0.588455
11:00:16.544	0.588136
11:00:16.644	0.587817
11:00:16.744	0.588775
11:00:16.844	0.588136
11:00:16.944	0.590051
11:00:17.044	0.589413
11:00:17.144	0.590051
11:00:17.244	0.590051
11:00:17.344	0.589413
11:00:17.444	0.589732
11:00:17.544	0.590051
11:00:17.644	0.590690
11:00:17.744	0.590690
11:00:17.844	0.590690
11:00:17.944	0.591009
11:00:18.044	0.591009
11:00:18.144	0.591328
11:00:18.244	0.590690
11:00:18.344	0.591328
11:00:18.444	0.592285
11:00:18.544	0.592285
11:00:18.644	0.593243
11:00:18.744	0.592924
11:00:18.844	0.593243
11:00:18.944	0.593562
11:00:19.044	0.593243
11:00:19.144	0.593243
11:00:19.244	0.594201
11:00:19.344	0.594520
11:00:19.444	0.595158
11:00:19.544	0.594839
11:00:19.644	0.595158
11:00:19.744	0.595477
11:00:19.844	0.595158
11:00:19.944	0.595477
11:00:20.044	0.595796
11:00:20.144	0.596754
11:00:20.244	0.596754
11:00:20.344	0.597073
11:00:20.444	0.596754
11:00:20.544	0.597073
11:00:20.644	0.597392
11:00:20.744	0.596754
11:00:20.844	0.597711
11:00:20.944	0.597711
11:00:21.044	0.597073
11:00:21.144	0.596435
11:00:21.244	0.598350
11:00:21.344	0.598031
11:00:21.444	0.598031
11:00:21.544	0.599307
11:00:21.644	0.598669
11:00:21.744	0.599307
11:00:21.844	0.600903
11:00:21.944	0.600265
11:00:22.044	0.599946
11:00:22.144	0.600265
11:00:22.244	0.601222
