Neel Temperature Data File
Tuesday, November 24, 2015 - 9:53 AM

Time (S)	Wheatstone (mV)	Temp (mV)
2.30	0.078	0.820
4.36	0.088	0.820
6.41	0.097	0.815
8.47	0.100	0.818
10.52	0.107	0.815
12.57	0.108	0.816
14.61	0.053	0.816
16.67	0.038	0.818
18.73	0.039	0.817
20.77	0.039	0.819
22.82	0.034	0.816
24.87	0.032	0.816
26.92	0.037	0.819
28.97	0.043	0.815
31.01	0.041	0.818
33.06	0.041	0.817
35.11	0.088	0.817
37.17	0.125	0.819
39.22	0.126	0.816
41.28	0.128	0.820
43.33	0.127	0.814
45.39	0.127	0.815
47.45	0.129	0.817
49.50	0.128	0.816
51.56	0.129	0.815
53.61	0.130	0.816
55.67	0.132	0.817
57.73	0.131	0.818
59.78	0.137	0.818
61.84	0.141	0.817
63.89	0.149	0.815
65.96	0.152	0.817
67.99	0.151	0.817
70.05	0.147	0.818
72.10	0.158	0.817
74.16	0.161	0.818
76.21	0.157	0.816
78.27	0.157	0.817
80.33	0.154	0.816
82.38	0.154	0.819
84.44	0.152	0.814
86.49	0.155	0.816
88.55	0.159	0.818
90.61	0.154	0.815
92.66	0.152	0.815
94.72	0.149	0.817
96.77	0.156	0.817
98.83	0.171	0.818
100.88	0.169	0.813
102.94	0.166	0.817
105.00	0.165	0.816
107.05	0.164	0.818
109.11	0.164	0.816
111.17	0.164	0.819
113.22	0.171	0.813
115.28	0.174	0.818
117.33	0.168	0.817
119.39	0.171	0.818
121.44	0.172	0.819
123.50	0.169	0.816
125.56	0.167	0.818
127.61	0.164	0.816
129.67	0.164	0.818
131.73	0.163	0.818
133.78	0.163	0.816
135.84	0.159	0.816
137.89	0.163	0.817
139.95	0.170	0.816
142.01	0.171	0.816
144.06	0.165	0.818
146.12	0.171	0.818
148.17	0.168	0.817
150.23	0.165	0.818
152.29	0.164	0.816
154.34	0.162	0.818
156.40	0.160	0.819
158.45	0.159	0.819
160.51	0.159	0.821
162.57	0.158	0.818
164.62	0.156	0.820
166.68	0.163	0.815
168.73	0.160	0.819
170.79	0.157	0.817
172.84	0.161	0.820
174.90	0.159	0.815
176.96	0.158	0.820
179.01	0.155	0.820
181.07	0.153	0.818
183.13	0.151	0.818
185.18	0.150	0.818
187.24	0.150	0.820
189.29	0.147	0.819
191.35	0.147	0.822
193.41	0.154	0.816
195.46	0.154	0.822
197.52	0.149	0.821
199.57	0.150	0.818
201.63	0.149	0.821
203.69	0.148	0.820
205.74	0.145	0.822
207.80	0.144	0.821
209.85	0.144	0.821
211.91	0.142	0.821
213.97	0.141	0.821
216.02	0.138	0.821
218.08	0.137	0.821
220.13	0.142	0.821
222.19	0.143	0.822
224.24	0.139	0.822
226.30	0.141	0.822
228.36	0.138	0.822
230.41	0.136	0.821
232.47	0.134	0.823
234.53	0.133	0.823
236.58	0.130	0.821
238.64	0.128	0.823
240.69	0.127	0.827
242.75	0.123	0.824
244.81	0.124	0.822
246.86	0.128	0.827
248.92	0.128	0.825
250.97	0.124	0.828
253.03	0.126	0.828
255.09	0.123	0.830
257.14	0.121	0.831
259.20	0.116	0.830
261.25	0.113	0.831
263.31	0.111	0.831
265.37	0.109	0.830
267.42	0.108	0.831
269.48	0.104	0.831
271.53	0.104	0.834
273.59	0.107	0.833
275.65	0.106	0.834
277.70	0.102	0.833
279.76	0.101	0.835
281.81	0.095	0.835
283.87	0.090	0.833
285.93	0.085	0.834
287.98	0.081	0.836
290.04	0.077	0.835
292.09	0.074	0.834
294.15	0.070	0.835
296.20	0.067	0.834
298.26	0.065	0.837
300.32	0.068	0.835
302.37	0.067	0.836
304.43	0.061	0.836
306.49	0.060	0.836
308.54	0.055	0.840
310.60	0.050	0.838
312.65	0.046	0.839
314.71	0.042	0.838
316.77	0.038	0.843
318.82	0.033	0.840
320.88	0.028	0.839
322.93	0.024	0.842
324.99	0.022	0.846
327.05	0.024	0.844
329.10	0.023	0.846
331.16	0.018	0.848
333.19	0.015	0.848
335.25	0.010	0.849
337.30	0.006	0.848
339.36	0.001	0.849
341.41	-0.004	0.851
343.45	-0.010	0.853
345.50	-0.013	0.851
347.56	-0.017	0.851
349.61	-0.021	0.849
351.67	-0.022	0.852
353.73	-0.021	0.852
355.78	-0.023	0.858
357.84	-0.029	0.856
359.89	-0.032	0.858
361.95	-0.037	0.856
364.00	-0.043	0.859
366.06	-0.049	0.863
368.12	-0.056	0.864
370.17	-0.060	0.863
372.23	-0.063	0.866
374.26	-0.070	0.864
376.32	-0.074	0.867
378.37	-0.074	0.869
380.43	-0.073	0.872
382.48	-0.077	0.867
384.54	-0.085	0.870
386.60	-0.089	0.868
388.65	-0.096	0.871
390.71	-0.103	0.872
392.77	-0.108	0.872
394.82	-0.113	0.877
396.88	-0.117	0.877
398.93	-0.122	0.879
400.99	-0.129	0.880
403.05	-0.134	0.880
405.10	-0.136	0.880
407.16	-0.135	0.879
409.21	-0.140	0.880
411.27	-0.160	0.882
413.33	-0.163	0.883
415.38	-0.170	0.883
417.44	-0.175	0.883
419.49	-0.181	0.886
421.53	-0.188	0.886
423.58	-0.192	0.885
425.64	-0.197	0.889
427.69	-0.203	0.893
429.73	-0.208	0.893
431.78	-0.210	0.893
433.84	-0.212	0.894
435.89	-0.212	0.895
437.95	-0.205	0.895
440.01	-0.210	0.896
442.06	-0.216	0.897
444.12	-0.225	0.896
446.17	-0.230	0.897
448.23	-0.236	0.901
450.29	-0.242	0.901
452.34	-0.249	0.902
454.40	-0.254	0.901
456.45	-0.260	0.904
458.51	-0.278	0.906
460.54	-0.312	0.904
462.60	-0.320	0.910
464.65	-0.331	0.907
466.71	-0.336	0.911
468.76	-0.343	0.910
470.82	-0.349	0.916
472.88	-0.355	0.918
474.93	-0.362	0.917
476.99	-0.368	0.918
479.05	-0.373	0.920
481.10	-0.378	0.923
483.13	-0.383	0.923
485.19	-0.378	0.922
487.24	-0.364	0.926
489.30	-0.366	0.924
491.36	-0.379	0.927
493.41	-0.382	0.931
495.47	-0.389	0.930
497.53	-0.394	0.933
499.58	-0.399	0.935
501.64	-0.406	0.934
503.70	-0.410	0.935
505.76	-0.415	0.936
507.81	-0.420	0.936
509.87	-0.423	0.937
511.93	-0.427	0.938
513.98	-0.424	0.940
516.04	-0.409	0.939
518.09	-0.457	0.941
520.13	-0.486	0.944
522.18	-0.491	0.948
524.24	-0.496	0.949
526.29	-0.502	0.951
528.33	-0.507	0.950
530.38	-0.512	0.950
532.44	-0.517	0.952
534.49	-0.521	0.952
536.55	-0.527	0.954
538.60	-0.531	0.954
540.66	-0.530	0.954
542.72	-0.490	0.955
544.77	-0.489	0.959
546.83	-0.504	0.963
548.89	-0.505	0.963
550.94	-0.510	0.967
553.00	-0.516	0.967
555.05	-0.521	0.966
557.11	-0.527	0.966
559.16	-0.532	0.968
561.22	-0.535	0.968
563.28	-0.538	0.973
565.33	-0.542	0.971
567.39	-0.544	0.979
569.45	-0.519	0.977
571.50	-0.518	0.979
573.56	-0.562	0.985
575.59	-0.571	0.980
577.65	-0.574	0.983
579.70	-0.578	0.988
581.76	-0.586	0.987
583.81	-0.589	0.992
585.87	-0.592	0.993
587.93	-0.595	0.993
589.98	-0.598	0.993
592.04	-0.600	0.995
594.09	-0.602	0.996
596.15	-0.598	0.997
598.21	-0.604	0.998
600.26	-0.613	1.000
602.32	-0.614	0.999
604.37	-0.616	1.003
606.43	-0.620	1.008
608.48	-0.624	1.009
610.54	-0.627	1.011
612.60	-0.631	1.011
614.65	-0.633	1.013
616.71	-0.635	1.014
618.77	-0.636	1.013
620.82	-0.638	1.016
622.88	-0.628	1.020
624.93	-0.626	1.023
626.99	-0.633	1.022
629.04	-0.633	1.025
631.10	-0.635	1.028
633.16	-0.635	1.030
635.21	-0.638	1.032
637.27	-0.639	1.035
639.33	-0.640	1.035
641.38	-0.640	1.038
643.44	-0.641	1.040
645.49	-0.642	1.041
647.55	-0.641	1.042
649.61	-0.629	1.043
651.66	-0.626	1.043
653.72	-0.631	1.048
655.77	-0.630	1.050
657.83	-0.629	1.054
659.89	-0.630	1.054
661.94	-0.631	1.053
664.00	-0.630	1.058
666.05	-0.629	1.056
668.11	-0.628	1.057
670.17	-0.627	1.060
672.22	-0.625	1.058
674.28	-0.623	1.063
676.33	-0.610	1.067
678.39	-0.603	1.066
680.44	-0.605	1.071
682.50	-0.604	1.070
684.56	-0.602	1.071
686.61	-0.599	1.073
688.67	-0.598	1.077
690.73	-0.594	1.076
692.78	-0.592	1.081
694.84	-0.588	1.080
696.89	-0.583	1.082
698.95	-0.579	1.085
701.01	-0.575	1.085
703.06	-0.562	1.091
705.12	-0.551	1.094
707.17	-0.547	1.095
709.23	-0.543	1.097
711.29	-0.538	1.097
713.34	-0.535	1.100
715.40	-0.531	1.103
717.45	-0.526	1.108
719.51	-0.520	1.106
721.57	-0.513	1.111
723.62	-0.506	1.112
725.68	-0.499	1.113
727.73	-0.494	1.114
729.79	-0.478	1.116
731.84	-0.465	1.117
733.90	-0.459	1.122
735.96	-0.452	1.121
738.01	-0.444	1.121
740.07	-0.436	1.125
742.13	-0.428	1.129
744.18	-0.420	1.129
746.24	-0.412	1.129
748.29	-0.404	1.131
750.35	-0.394	1.134
752.41	-0.383	1.137
754.46	-0.374	1.141
756.52	-0.355	1.141
758.57	-0.339	1.142
760.63	-0.327	1.145
762.69	-0.318	1.147
764.74	-0.307	1.152
766.80	-0.297	1.154
768.85	-0.287	1.156
770.91	-0.276	1.157
772.97	-0.264	1.158
775.02	-0.253	1.159
777.08	-0.240	1.162
779.13	-0.226	1.165
781.19	-0.214	1.166
783.25	-0.198	1.169
785.30	-0.184	1.171
787.36	-0.172	1.173
789.41	-0.148	1.172
791.47	-0.129	1.173
793.53	-0.114	1.173
795.58	-0.101	1.179
797.64	-0.084	1.176
799.69	-0.069	1.179
801.75	-0.058	1.186
803.80	-0.042	1.186
805.86	-0.027	1.187
807.92	-0.015	1.187
809.97	0.001	1.190
812.03	0.019	1.191
814.09	0.038	1.195
816.14	0.056	1.198
818.20	0.086	1.201
820.25	0.105	1.203
822.31	0.117	1.206
824.37	0.136	1.208
826.42	0.154	1.210
828.48	0.169	1.209
830.53	0.189	1.212
832.59	0.208	1.216
834.65	0.226	1.216
836.70	0.245	1.219
838.75	0.264	1.220
840.81	0.282	1.223
842.86	0.303	1.226
844.89	0.335	1.229
846.95	0.361	1.232
849.01	0.386	1.231
851.06	0.401	1.232
853.12	0.422	1.232
855.17	0.440	1.239
857.21	0.458	1.238
859.26	0.478	1.242
861.32	0.500	1.242
863.35	0.519	1.245
865.38	0.541	1.248
867.44	0.563	1.252
869.49	0.586	1.250
871.55	0.605	1.256
873.60	0.628	1.260
875.66	0.651	1.259
877.72	0.685	1.264
879.77	0.714	1.264
881.83	0.733	1.265
883.89	0.755	1.271
885.92	0.778	1.275
887.97	0.797	1.275
890.03	0.819	1.276
892.09	0.840	1.278
894.14	0.866	1.282
896.20	0.889	1.286
898.25	0.913	1.287
900.31	0.935	1.290
902.37	0.959	1.289
904.42	0.992	1.292
906.48	1.021	1.294
908.53	1.042	1.297
910.59	1.065	1.298
912.65	1.087	1.301
914.70	1.109	1.304
916.76	1.133	1.304
918.81	1.154	1.306
920.87	1.181	1.304
922.93	1.204	1.310
924.98	1.224	1.307
927.04	1.245	1.315
929.09	1.269	1.319
931.15	1.299	1.320
932.18	1.328	1.322
933.21	1.337	1.322
934.25	1.356	1.322
935.28	1.359	1.321
936.31	1.371	1.323
937.34	1.382	1.324
938.37	1.394	1.327
939.41	1.405	1.331
940.44	1.416	1.330
941.50	1.427	1.335
942.53	1.439	1.334
943.56	1.449	1.337
944.60	1.458	1.338
945.63	1.469	1.337
946.66	1.479	1.334
947.69	1.491	1.341
948.73	1.503	1.338
949.76	1.515	1.343
950.79	1.527	1.345
951.82	1.537	1.345
952.85	1.547	1.344
953.89	1.558	1.347
954.92	1.571	1.348
955.95	1.582	1.348
956.98	1.594	1.348
958.01	1.605	1.352
959.05	1.629	1.351
960.08	1.636	1.352
961.12	1.655	1.352
962.15	1.666	1.356
963.18	1.671	1.353
964.21	1.681	1.360
965.25	1.692	1.358
966.28	1.700	1.362
967.31	1.710	1.364
968.34	1.718	1.363
969.37	1.729	1.362
970.41	1.739	1.363
971.44	1.749	1.360
972.47	1.757	1.361
973.50	1.770	1.366
974.53	1.778	1.366
975.57	1.789	1.364
976.63	1.801	1.368
977.66	1.812	1.372
978.69	1.820	1.368
979.73	1.832	1.366
980.76	1.844	1.371
981.79	1.851	1.374
982.82	1.858	1.375
983.85	1.868	1.375
984.89	1.879	1.375
985.92	1.888	1.380
986.95	1.917	1.381
987.98	1.918	1.381
989.01	1.938	1.382
990.05	1.942	1.384
991.08	1.947	1.384
992.11	1.958	1.385
993.17	1.968	1.379
994.20	1.976	1.380
995.24	1.984	1.388
996.27	1.994	1.391
997.30	2.002	1.391
998.33	2.008	1.393
999.37	2.016	1.392
1000.40	2.026	1.395
1001.43	2.035	1.398
1002.46	2.044	1.399
1003.49	2.054	1.402
1004.53	2.065	1.393
1005.56	2.074	1.401
1006.59	2.082	1.404
1007.62	2.092	1.402
1008.65	2.101	1.404
1009.69	2.111	1.401
1010.72	2.119	1.405
1011.75	2.125	1.406
1012.78	2.135	1.408
1013.81	2.150	1.408
1014.85	2.169	1.408
1015.88	2.169	1.407
1016.91	2.193	1.410
