Neel Temperature Data File
Tuesday, November 17, 2015 - 2:29 PM

Time (S)	Wheatstone (mV)	Temp (mV)
2.61	-0.308	0.928
3.16	-0.325	0.951
3.71	-0.325	0.948
4.26	-0.322	0.939
4.80	-0.314	0.956
5.35	-0.316	0.954
5.89	-0.311	0.951
6.43	-0.304	0.968
6.99	-0.301	0.962
7.53	-0.307	0.965
8.07	-0.305	0.954
8.62	-0.297	0.962
9.16	-0.301	0.965
9.71	-0.299	0.968
10.25	-0.293	0.968
10.79	-0.296	0.956
11.34	-0.289	0.965
11.88	-0.282	0.977
12.43	-0.292	0.968
12.98	-0.296	0.959
13.52	-0.287	0.968
14.07	-0.281	0.968
14.61	-0.289	0.974
15.15	-0.280	0.968
15.70	-0.275	0.968
16.25	-0.269	0.962
16.80	-0.257	0.979
17.36	-0.257	0.965
17.91	-0.247	0.985
18.47	-0.244	0.974
19.02	-0.241	0.977
19.57	-0.242	0.971
20.12	-0.242	0.974
20.67	-0.243	0.977
21.23	-0.236	0.971
21.78	-0.231	0.979
22.33	-0.225	0.974
22.88	-0.220	0.974
23.43	-0.219	0.974
23.99	-0.219	0.979
24.54	-0.219	0.974
25.09	-0.218	0.982
25.64	-0.216	0.979
26.19	-0.211	0.982
26.75	-0.209	0.977
27.31	-0.207	0.979
27.86	-0.204	0.982
28.41	-0.196	0.979
28.96	-0.191	0.974
29.51	-0.178	0.982
30.07	-0.173	0.977
30.62	-0.173	0.974
31.17	-0.171	0.985
31.72	-0.169	0.979
32.27	-0.166	0.985
32.83	-0.161	0.977
33.38	-0.154	0.977
33.93	-0.148	0.974
34.48	-0.144	0.979
35.03	-0.146	0.985
35.59	-0.144	0.991
36.14	-0.144	0.988
36.69	-0.139	0.982
37.24	-0.137	0.985
37.79	-0.131	0.979
38.35	-0.126	0.991
38.90	-0.123	0.988
39.45	-0.123	0.979
40.00	-0.120	0.985
40.55	-0.120	0.988
41.11	-0.118	0.988
41.66	-0.113	0.988
42.21	-0.107	0.982
42.76	-0.101	0.979
43.31	-0.100	0.994
43.87	-0.094	0.988
44.42	-0.091	0.982
44.97	-0.094	0.988
45.52	-0.089	0.979
46.07	-0.088	0.979
46.63	-0.082	0.994
47.18	-0.076	0.985
47.73	-0.074	0.982
48.28	-0.076	0.991
48.83	-0.067	0.991
49.39	-0.067	0.988
49.94	-0.071	0.997
50.49	-0.064	1.000
51.04	-0.057	0.994
51.59	-0.047	1.000
52.15	-0.036	1.005
52.71	-0.040	1.000
53.26	-0.035	0.994
53.81	-0.033	0.994
54.36	-0.027	0.997
54.91	-0.024	0.991
55.47	-0.021	1.005
56.02	-0.020	1.002
56.57	-0.018	1.000
57.12	-0.018	1.008
57.67	-0.013	1.002
58.23	-0.007	1.008
58.78	-0.002	1.000
59.33	0.006	1.011
59.89	0.004	1.005
60.44	0.008	1.005
60.99	0.015	1.017
61.55	0.021	1.025
62.11	0.019	1.017
62.66	0.024	1.017
63.21	0.032	1.014
63.76	0.038	1.020
64.31	0.045	1.002
64.87	0.047	1.011
65.42	0.047	1.017
65.97	0.048	1.005
66.52	0.057	1.023
67.07	0.064	1.028
67.63	0.066	1.008
68.18	0.074	1.020
68.73	0.084	1.017
69.28	0.089	1.040
69.83	0.094	1.034
70.39	0.098	1.017
70.94	0.105	1.020
71.49	0.111	1.023
72.04	0.116	1.023
72.59	0.125	1.031
73.15	0.133	1.023
73.71	0.135	1.025
74.26	0.138	1.031
74.81	0.144	1.023
75.36	0.151	1.020
75.91	0.159	1.031
76.47	0.164	1.031
77.03	0.161	1.023
77.58	0.169	1.034
78.13	0.176	1.028
78.68	0.183	1.034
79.23	0.186	1.028
79.79	0.191	1.028
80.34	0.194	1.037
80.89	0.201	1.034
81.44	0.206	1.040
81.99	0.211	1.028
82.55	0.218	1.040
83.10	0.225	1.025
83.65	0.228	1.043
84.21	0.229	1.034
84.76	0.235	1.031
85.31	0.237	1.028
85.87	0.245	1.028
86.42	0.253	1.034
86.98	0.251	1.037
87.53	0.260	1.048
88.08	0.268	1.045
88.63	0.274	1.040
89.19	0.278	1.037
89.74	0.282	1.031
90.29	0.284	1.048
90.84	0.286	1.045
91.39	0.289	1.040
91.95	0.296	1.045
92.50	0.302	1.040
93.05	0.308	1.040
93.61	0.314	1.045
94.16	0.320	1.054
94.71	0.326	1.048
95.27	0.329	1.060
95.82	0.340	1.048
96.35	0.344	1.048
96.91	0.346	1.045
97.46	0.349	1.051
98.01	0.350	1.051
98.56	0.358	1.060
99.11	0.363	1.043
99.67	0.373	1.054
100.22	0.385	1.057
100.77	0.396	1.054
101.32	0.400	1.071
101.87	0.407	1.066
102.43	0.401	1.060
102.98	0.396	1.060
103.53	0.403	1.063
104.08	0.405	1.068
104.63	0.416	1.066
105.19	0.427	1.068
105.74	0.431	1.068
106.29	0.436	1.063
106.84	0.439	1.068
107.39	0.441	1.074
107.95	0.445	1.066
108.50	0.450	1.066
109.05	0.454	1.077
109.60	0.459	1.077
110.15	0.467	1.066
110.71	0.476	1.071
111.26	0.481	1.071
111.81	0.487	1.071
112.36	0.491	1.077
112.91	0.500	1.074
113.47	0.506	1.077
114.02	0.516	1.077
114.57	0.524	1.074
115.12	0.539	1.091
115.67	0.552	1.080
116.23	0.558	1.074
116.78	0.562	1.071
117.33	0.570	1.074
117.88	0.568	1.091
118.43	0.571	1.083
118.99	0.576	1.077
119.54	0.583	1.077
120.09	0.607	1.074
120.64	0.619	1.080
121.18	0.620	1.077
121.74	0.627	1.080
122.29	0.638	1.071
122.84	0.645	1.086
123.39	0.658	1.080
123.95	0.660	1.077
124.50	0.666	1.074
125.05	0.664	1.083
125.60	0.665	1.080
126.15	0.667	1.083
126.71	0.671	1.086
127.26	0.677	1.074
127.81	0.682	1.083
128.36	0.687	1.083
128.91	0.693	1.086
129.47	0.695	1.089
130.02	0.697	1.094
130.57	0.700	1.083
131.12	0.701	1.097
131.68	0.703	1.097
132.23	0.708	1.097
132.78	0.715	1.094
133.34	0.724	1.097
133.89	0.727	1.091
134.44	0.726	1.100
134.99	0.732	1.091
135.55	0.735	1.089
136.10	0.741	1.091
136.65	0.745	1.103
137.20	0.749	1.091
137.75	0.750	1.109
138.29	0.745	1.099
138.84	0.740	1.089
139.39	0.745	1.097
139.95	0.747	1.106
140.50	0.754	1.100
141.05	0.766	1.103
141.60	0.774	1.109
142.15	0.782	1.106
142.71	0.815	1.117
143.27	0.829	1.112
143.82	0.842	1.097
144.37	0.850	1.103
144.92	0.854	1.117
145.48	0.855	1.114
146.03	0.857	1.120
146.59	0.862	1.114
147.14	0.869	1.106
147.69	0.873	1.112
148.24	0.875	1.120
148.79	0.877	1.112
149.35	0.883	1.114
149.91	0.896	1.114
150.46	0.904	1.114
151.01	0.907	1.117
151.56	0.910	1.120
152.11	0.913	1.123
152.67	0.912	1.114
153.22	0.918	1.112
153.77	0.925	1.114
154.32	0.930	1.114
154.88	0.929	1.117
155.43	0.937	1.117
155.99	0.948	1.120
156.54	0.948	1.120
157.09	0.966	1.126
157.64	0.965	1.126
158.20	0.967	1.123
158.75	0.973	1.123
159.31	0.981	1.129
159.86	0.980	1.123
160.41	0.964	1.114
160.96	0.958	1.129
161.51	0.959	1.120
162.07	0.960	1.123
162.62	0.966	1.126
163.17	0.968	1.120
163.73	0.975	1.126
164.27	0.979	1.126
164.82	0.982	1.132
165.37	0.989	1.126
165.92	0.991	1.126
166.47	0.997	1.123
167.03	1.003	1.123
167.58	1.008	1.120
168.13	1.013	1.117
168.68	1.019	1.129
169.23	1.025	1.137
169.79	1.027	1.129
170.34	1.028	1.135
170.89	1.032	1.126
171.44	1.039	1.123
171.99	1.044	1.129
172.55	1.050	1.126
173.10	1.059	1.126
173.65	1.076	1.135
174.20	1.077	1.126
174.75	1.082	1.135
175.31	1.087	1.132
175.87	1.094	1.129
176.42	1.100	1.137
176.97	1.103	1.132
177.52	1.109	1.155
178.12	1.107	1.147
178.67	1.078	1.135
179.32	1.072	1.145
179.96	1.071	1.128
180.52	1.076	1.141
181.08	1.078	1.151
181.64	1.082	1.143
182.19	1.085	1.152
182.75	1.096	1.141
183.31	1.097	1.143
183.87	1.097	1.140
184.41	1.098	1.141
184.96	1.101	1.149
185.51	1.107	1.143
186.07	1.113	1.152
186.62	1.118	1.149
187.17	1.122	1.146
187.73	1.128	1.152
188.27	1.131	1.146
188.81	1.135	1.154
189.35	1.139	1.160
189.91	1.146	1.149
190.46	1.148	1.155
191.01	1.153	1.163
191.56	1.153	1.166
192.12	1.161	1.166
192.68	1.168	1.166
193.23	1.173	1.158
193.78	1.177	1.163
194.34	1.189	1.161
194.88	1.192	1.163
195.43	1.216	1.169
195.99	1.228	1.155
196.54	1.241	1.166
197.09	1.244	1.169
197.64	1.252	1.163
198.19	1.253	1.166
198.75	1.253	1.163
199.30	1.256	1.169
199.85	1.256	1.169
200.40	1.264	1.163
200.95	1.264	1.169
201.51	1.272	1.169
202.06	1.277	1.160
202.61	1.280	1.175
203.16	1.286	1.172
203.71	1.296	1.166
204.27	1.296	1.158
204.82	1.297	1.166
205.37	1.299	1.169
205.92	1.305	1.166
206.47	1.305	1.169
207.03	1.301	1.178
207.59	1.290	1.178
208.14	1.287	1.169
208.69	1.294	1.169
209.24	1.295	1.166
209.79	1.301	1.172
210.34	1.315	1.172
210.89	1.321	1.178
211.44	1.329	1.178
211.99	1.336	1.175
212.55	1.342	1.178
213.10	1.350	1.178
213.67	1.361	1.182
214.30	1.380	1.182
214.85	1.413	1.180
215.39	1.434	1.169
215.95	1.444	1.178
216.50	1.450	1.175
217.05	1.455	1.180
217.60	1.458	1.180
218.15	1.459	1.180
218.71	1.460	1.172
219.26	1.463	1.178
219.81	1.467	1.178
220.36	1.463	1.178
220.91	1.462	1.180
221.47	1.455	1.180
222.02	1.444	1.172
222.57	1.433	1.180
223.12	1.417	1.195
223.67	1.411	1.180
224.21	1.399	1.187
224.78	1.392	1.198
225.33	1.396	1.183
225.88	1.391	1.195
226.43	1.399	1.192
226.99	1.401	1.201
227.54	1.408	1.189
228.09	1.425	1.187
228.65	1.425	1.189
229.20	1.435	1.180
229.75	1.444	1.201
230.31	1.451	1.192
230.86	1.458	1.195
231.41	1.466	1.201
231.96	1.473	1.198
232.51	1.493	1.209
233.07	1.495	1.198
233.62	1.509	1.206
234.17	1.511	1.212
234.72	1.515	1.209
235.27	1.523	1.201
235.83	1.531	1.206
236.41	1.535	1.208
236.96	1.542	1.206
237.51	1.545	1.203
238.07	1.554	1.209
238.63	1.560	1.212
239.19	1.567	1.212
239.74	1.574	1.212
240.30	1.576	1.213
240.85	1.589	1.218
241.40	1.591	1.217
242.02	1.601	1.221
242.56	1.607	1.230
243.13	1.614	1.211
243.70	1.622	1.208
244.24	1.621	1.221
244.79	1.634	1.215
245.35	1.639	1.221
245.88	1.645	1.221
246.43	1.654	1.218
246.99	1.658	1.218
247.55	1.667	1.209
248.10	1.675	1.229
248.65	1.675	1.215
249.19	1.688	1.221
249.73	1.692	1.218
250.27	1.702	1.218
250.83	1.714	1.226
251.38	1.722	1.232
251.93	1.735	1.224
252.48	1.737	1.221
253.06	1.742	1.227
253.61	1.752	1.215
254.16	1.758	1.229
254.70	1.762	1.221
255.30	1.768	1.227
255.85	1.773	1.224
256.40	1.777	1.224
256.94	1.784	1.231
257.49	1.792	1.224
258.07	1.797	1.224
258.60	1.803	1.227
259.14	1.809	1.227
259.71	1.816	1.221
260.27	1.821	1.221
260.81	1.829	1.226
261.35	1.835	1.224
261.90	1.843	1.218
262.44	1.847	1.224
262.99	1.850	1.229
263.53	1.855	1.238
264.07	1.859	1.226
264.62	1.868	1.226
265.16	1.875	1.232
265.71	1.876	1.226
266.25	1.889	1.229
266.79	1.890	1.224
267.33	1.896	1.233
267.86	1.909	1.227
268.41	1.918	1.232
268.95	1.920	1.232
269.50	1.929	1.221
270.06	1.933	1.232
270.62	1.941	1.244
271.16	1.950	1.241
271.71	1.963	1.232
272.25	1.967	1.238
272.79	1.976	1.235
273.34	1.977	1.232
273.87	1.984	1.230
274.43	1.989	1.247
274.99	1.995	1.229
275.53	2.001	1.235
276.08	2.007	1.252
276.62	2.011	1.241
277.16	2.014	1.247
277.71	2.022	1.241
278.25	2.029	1.241
278.79	2.035	1.244
279.35	2.042	1.249
279.91	2.045	1.255
280.45	2.055	1.241
280.99	2.056	1.255
281.54	2.066	1.252
282.08	2.073	1.264
282.63	2.079	1.267
283.17	2.084	1.252
283.71	2.086	1.258
284.26	2.096	1.267
284.80	2.100	1.255
285.35	2.107	1.258
285.89	2.122	1.261
286.43	2.126	1.264
286.98	2.131	1.258
287.52	2.140	1.258
288.07	2.149	1.258
288.61	2.155	1.264
289.15	2.161	1.264
289.70	2.171	1.270
290.24	2.175	1.270
290.79	2.192	1.270
291.33	2.188	1.270
291.87	2.192	1.264
292.42	2.200	1.272
292.96	2.201	1.275
293.51	2.207	1.264
294.05	2.212	1.272
294.59	2.217	1.275
295.14	2.224	1.267
295.68	2.228	1.267
296.23	2.234	1.278
296.77	2.239	1.270
297.31	2.243	1.270
297.86	2.252	1.267
298.40	2.257	1.270
298.95	2.264	1.270
299.49	2.267	1.270
300.03	2.276	1.270
300.58	2.277	1.272
301.12	2.286	1.270
301.67	2.287	1.270
302.21	2.298	1.270
302.75	2.305	1.278
303.30	2.307	1.275
303.84	2.318	1.270
304.39	2.318	1.272
304.93	2.327	1.267
305.47	2.332	1.272
306.02	2.344	1.284
306.56	2.351	1.281
307.11	2.357	1.270
307.66	2.364	1.278
308.20	2.369	1.275
308.75	2.377	1.281
309.29	2.384	1.287
309.83	2.390	1.272
310.38	2.396	1.290
310.92	2.397	1.281
311.47	2.405	1.295
312.01	2.410	1.295
312.55	2.418	1.284
313.10	2.423	1.293
313.64	2.427	1.278
314.19	2.437	1.293
314.73	2.437	1.290
315.27	2.447	1.295
315.83	2.454	1.284
316.37	2.456	1.295
316.91	2.467	1.301
317.46	2.473	1.298
318.00	2.473	1.295
