#Neel Temperature Data File
#Monday, November 23, 2015 - 3:50 PM

#Time (S)	Wheatstone (mV)	Temp (mV)
7.02	-0.293	1.304
12.08	-0.293	1.306
17.13	-0.283	1.307
22.17	-0.276	1.312
27.23	-0.274	1.314
32.26	-0.270	1.317
37.29	-0.266	1.319
42.35	-0.261	1.319
47.40	-0.250	1.318
52.46	-0.246	1.322
57.49	-0.242	1.324
62.56	-0.236	1.326
67.59	-0.231	1.331
72.62	-0.222	1.330
77.68	-0.211	1.333
82.74	-0.206	1.335
87.78	-0.198	1.337
92.82	-0.191	1.340
97.86	-0.185	1.343
102.90	-0.172	1.346
107.94	-0.163	1.348
112.97	-0.157	1.349
118.04	-0.151	1.350
123.07	-0.143	1.353
128.11	-0.131	1.355
133.17	-0.115	1.360
138.21	-0.108	1.361
143.25	-0.101	1.363
148.29	-0.095	1.365
153.35	-0.084	1.366
158.39	-0.068	1.368
163.43	-0.049	1.372
168.47	-0.040	1.375
173.50	-0.031	1.378
178.53	-0.025	1.382
183.57	-0.016	1.382
188.63	0.005	1.387
193.66	0.013	1.390
198.69	0.027	1.393
203.73	0.036	1.393
208.76	0.047	1.401
213.81	0.063	1.403
218.84	0.083	1.406
223.90	0.091	1.409
228.93	0.103	1.409
233.97	0.117	1.412
239.03	0.132	1.416
244.07	0.155	1.419
249.11	0.172	1.422
254.15	0.182	1.423
259.21	0.196	1.426
264.25	0.209	1.426
269.28	0.219	1.430
274.34	0.219	1.435
279.37	0.203	1.436
284.41	0.174	1.441
289.44	0.169	1.442
294.50	0.190	1.448
299.53	0.212	1.450
304.57	0.239	1.453
309.60	0.267	1.454
314.64	0.286	1.459
319.68	0.306	1.464
324.72	0.340	1.465
329.76	0.359	1.466
334.80	0.390	1.472
339.83	0.422	1.478
344.89	0.441	1.481
349.93	0.462	1.482
354.96	0.486	1.488
360.02	0.512	1.491
365.05	0.544	1.497
370.09	0.565	1.500
375.12	0.587	1.503
380.18	0.607	1.509
385.21	0.628	1.510
390.25	0.652	1.515
395.31	0.682	1.517
400.34	0.701	1.525
405.38	0.724	1.525
410.41	0.748	1.525
415.48	0.769	1.530
420.51	0.801	1.536
425.54	0.827	1.539
430.60	0.849	1.542
435.64	0.871	1.546
440.68	0.895	1.551
445.71	0.917	1.554
450.77	0.951	1.558
455.81	0.972	1.563
460.84	0.992	1.568
465.90	1.019	1.571
470.93	1.042	1.576
475.97	1.069	1.581
481.00	1.099	1.584
486.06	1.120	1.587
491.09	1.142	1.593
496.13	1.149	1.596
501.19	1.178	1.599
506.22	1.220	1.601
511.26	1.241	1.607
516.29	1.262	1.612
521.36	1.287	1.613
526.39	1.326	1.619
531.42	1.350	1.622
536.48	1.380	1.620
541.52	1.381	1.619
546.55	1.382	1.621
551.58	1.383	1.620
556.64	1.382	1.619
561.68	1.381	1.618
566.71	1.381	1.619
571.77	1.382	1.613
576.80	1.382	1.617
581.84	1.383	1.615
586.90	1.383	1.616
591.96	1.382	1.618
597.00	1.381	1.614
602.03	1.381	1.617
607.09	1.379	1.615
612.13	1.376	1.614
617.16	1.374	1.613
622.22	1.369	1.614
627.25	1.367	1.613
632.29	1.365	1.612
637.32	1.364	1.612
642.38	1.362	1.612
647.41	1.360	1.613
652.45	1.357	1.613
657.48	1.357	1.611
662.51	1.354	1.612
667.54	1.351	1.611
672.57	1.348	1.612
677.64	1.345	1.609
682.67	1.344	1.611
687.70	1.342	1.607
692.76	1.339	1.606
697.80	1.337	1.606
702.83	1.332	1.605
707.86	1.330	1.609
712.90	1.326	1.605
717.93	1.323	1.606
722.97	1.322	1.601
728.03	1.317	1.601
733.06	1.313	1.601
738.09	1.311	1.601
743.13	1.307	1.601
748.19	1.305	1.600
753.22	1.302	1.600
758.25	1.299	1.599
763.32	1.296	1.599
768.35	1.292	1.598
773.38	1.289	1.598
778.41	1.285	1.597
783.48	1.281	1.596
788.51	1.276	1.594
793.54	1.270	1.597
798.60	1.269	1.595
803.64	1.265	1.591
808.67	1.261	1.592
813.70	1.256	1.590
818.76	1.253	1.590
823.80	1.248	1.588
828.83	1.243	1.588
833.89	1.239	1.588
838.92	1.235	1.585
843.96	1.230	1.585
848.99	1.227	1.584
854.05	1.225	1.583
859.09	1.222	1.586
864.12	1.219	1.583
869.18	1.213	1.583
874.21	1.208	1.581
879.25	1.202	1.580
884.31	1.196	1.579
889.34	1.189	1.577
894.37	1.185	1.576
899.41	1.178	1.576
904.47	1.171	1.575
909.50	1.164	1.573
914.53	1.156	1.570
919.57	1.151	1.570
924.63	1.146	1.569
929.66	1.140	1.569
934.69	1.133	1.567
939.76	1.126	1.565
944.79	1.119	1.567
949.82	1.114	1.564
954.88	1.107	1.561
959.92	1.102	1.562
964.95	1.096	1.559
969.98	1.089	1.559
975.04	1.082	1.558
980.08	1.074	1.556
985.11	1.069	1.556
990.17	1.064	1.553
995.20	1.056	1.554
1000.24	1.049	1.553
1005.27	1.042	1.550
1010.33	1.035	1.551
1015.37	1.028	1.547
1020.40	1.022	1.549
1025.46	1.012	1.544
1030.49	1.005	1.542
1035.53	0.999	1.541
1040.56	0.993	1.540
1045.62	0.987	1.540
1050.65	0.980	1.539
1055.69	0.974	1.538
1060.75	0.967	1.538
1065.78	0.960	1.537
1070.81	0.951	1.536
1075.85	0.945	1.534
1080.91	0.937	1.532
1085.94	0.929	1.532
1090.97	0.920	1.530
1096.04	0.914	1.527
1101.07	0.910	1.527
1106.10	0.904	1.526
1111.13	0.895	1.524
1116.20	0.886	1.524
1121.23	0.879	1.523
1126.26	0.871	1.524
1131.32	0.864	1.523
1136.36	0.856	1.523
1141.39	0.848	1.518
1146.42	0.841	1.520
1151.48	0.834	1.517
1156.52	0.829	1.514
1161.55	0.822	1.513
1166.61	0.815	1.512
1171.65	0.807	1.510
1176.69	0.800	1.509
1181.72	0.793	1.508
1186.78	0.786	1.509
1191.81	0.778	1.509
1196.85	0.770	1.506
1201.91	0.762	1.505
1206.94	0.756	1.504
1211.97	0.749	1.502
1217.01	0.742	1.501
1222.05	0.736	1.498
1227.09	0.727	1.498
1232.12	0.720	1.496
1237.18	0.714	1.494
1242.21	0.706	1.495
1247.25	0.698	1.492
1252.28	0.689	1.489
1257.31	0.683	1.491
1262.34	0.677	1.488
1267.37	0.669	1.487
1272.44	0.664	1.484
1277.47	0.655	1.485
1282.50	0.649	1.483
1287.53	0.641	1.482
1292.56	0.634	1.480
1297.60	0.626	1.481
1302.63	0.619	1.480
1307.69	0.609	1.477
1312.73	0.602	1.475
1317.76	0.598	1.471
1322.80	0.591	1.472
1327.84	0.584	1.470
1332.87	0.576	1.471
1337.90	0.568	1.466
1342.96	0.562	1.467
1348.01	0.556	1.467
1353.04	0.550	1.467
1358.10	0.542	1.465
1363.15	0.536	1.466
1368.18	0.528	1.462
1373.21	0.521	1.462
1378.28	0.513	1.459
1383.31	0.507	1.458
1388.34	0.501	1.455
1393.40	0.493	1.455
1398.44	0.484	1.452
1403.47	0.478	1.452
1408.50	0.471	1.449
1413.56	0.463	1.450
1418.60	0.457	1.449
1423.63	0.451	1.447
1428.69	0.447	1.447
1433.73	0.443	1.444
1438.76	0.437	1.446
1443.79	0.433	1.442
1448.85	0.426	1.442
1453.89	0.422	1.440
1458.92	0.417	1.439
1463.98	0.411	1.438
1469.01	0.408	1.437
1474.05	0.405	1.437
1479.08	0.404	1.437
1484.14	0.407	1.430
1489.17	0.412	1.431
1494.21	0.427	1.429
1499.27	0.441	1.431
1504.30	0.448	1.428
1509.33	0.453	1.426
1514.37	0.452	1.424
1519.43	0.449	1.423
1524.46	0.445	1.423
1529.49	0.440	1.424
1534.56	0.432	1.422
1539.59	0.423	1.422
1544.62	0.414	1.422
1549.65	0.405	1.421
1554.72	0.398	1.419
1559.75	0.388	1.420
1564.78	0.380	1.420
1569.84	0.371	1.416
1574.88	0.365	1.415
1579.91	0.358	1.413
1584.97	0.352	1.411
1590.00	0.345	1.409
1595.04	0.337	1.409
1600.07	0.330	1.409
1605.13	0.324	1.408
1610.17	0.318	1.409
1615.20	0.313	1.407
1620.26	0.307	1.406
1625.29	0.300	1.405
1630.33	0.293	1.405
1635.36	0.287	1.403
1640.42	0.282	1.402
1645.45	0.276	1.400
1650.49	0.270	1.397
1655.55	0.264	1.397
1660.58	0.257	1.393
1665.61	0.251	1.396
1670.65	0.247	1.393
1675.71	0.242	1.393
1680.74	0.235	1.393
1685.77	0.231	1.391
1690.84	0.223	1.390
1695.87	0.218	1.388
1700.95	0.213	1.385
1705.98	0.208	1.383
1711.04	0.204	1.383
1716.08	0.198	1.381
1721.11	0.192	1.380
1726.17	0.187	1.379
1731.21	0.182	1.378
1736.24	0.176	1.377
1741.27	0.170	1.376
1746.33	0.164	1.376
1751.37	0.159	1.375
1756.40	0.154	1.372
1761.46	0.147	1.370
1766.49	0.141	1.370
1771.53	0.136	1.367
1776.56	0.132	1.368
1781.62	0.127	1.365
1786.65	0.123	1.366
1791.69	0.118	1.363
1796.75	0.114	1.362
1801.78	0.109	1.363
1806.81	0.101	1.362
1811.85	0.096	1.361
1816.88	0.092	1.360
1821.91	0.088	1.359
1826.94	0.083	1.359
1832.00	0.077	1.357
1837.04	0.071	1.353
1842.07	0.065	1.355
1847.10	0.060	1.353
1852.16	0.055	1.352
1857.20	0.050	1.351
1862.23	0.046	1.348
1867.29	0.041	1.349
1872.33	0.037	1.349
1877.36	0.031	1.348
1882.42	0.025	1.348
1887.45	0.020	1.347
1892.49	0.014	1.345
1897.52	0.008	1.344
1902.58	0.005	1.344
1907.61	0.001	1.343
1912.65	-0.004	1.339
1917.71	-0.008	1.340
1922.74	-0.016	1.337
1927.77	-0.019	1.337
1932.81	-0.024	1.336
